"Manage Earning Points By Product","Manage Earning Points By Product"
"Spending","Spending"
"Spending Rates","Spending Rates"
"Catalog Spending Rules","Catalog Spending Rules"
"Shopping Cart Spending Rules","Shopping Cart Spending Rules"
"Allow Everything","Allow Everything"
"Allow earning points from shipping fee","Allow earning points from shipping fee"
"On Product Listing Page","On Product Listing Page"
"Rules Plugin Configuration","Rules Plugin Configuration"
"Enable Rules Plugin","Enable Rules Plugin"
"Quantity of products applied each time","Quantity of products applied each time"
"On Category and Search Result Page","On Category and Search Result Page"
"Pause","Pause"
"Resume","Resume"
"Processed ","Processed "
"Applying rule completed!","Applying rule completed!"
"Paused ","Paused "
"Rules were applied!","Rules were applied!"
"Applying reward point earning rules, please wait...","Applying reward point earning rules, please wait..."
"Please note: Do not close this window until rules are fully applied","Please note: Do not close this window until rules are fully applied"
"Start checking data","Start checking data"
"Example:","Example:"
"1. If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:","1. If you want to apply the rule to products that cost more than %s and have brand Apple, the condition is:"
"2. If you want to configure that Customers need to spend at least 5 points on products:","2. If you want to configure that Customers need to spend at least 5 points on products:"
"- Choose ","- Choose "
"- Fill in field ","- Fill in field "
"3.If you want to configure that Customers need to spend 5 points on every %s of product price and limit the required number of points to 15, then:","3.If you want to configure that Customers need to spend 5 points on every %s of product price and limit the required number of points to 15, then:"
"Example for ","Example for "
"If you want to give Customers 5 points for purchasing products, then:","If you want to give Customers 5 points for purchasing products, then:"
"If you want to give Customers 5 points for every %s of price they spend and limit the number of points that can be earned to 15, then:","If you want to give Customers 5 points for every %s of price they spend and limit the number of points that can be earned to 15, then:"
"If you want to give Customers 5 points for every %s of profit they make and limit the number of points that can be earned to 15, then:","If you want to give Customers 5 points for every %s of profit they make and limit the number of points that can be earned to 15, then:"
"If you want to apply the rule to products that cost more than %s and have Apple brand, the condition is:","If you want to apply the rule to products that cost more than %s and have Apple brand, the condition is:"
"- Fill in field: ","- Fill in field: "
"1. If you want to give Customers 5 points for purchasing, then:","1. If you want to give Customers 5 points for purchasing, then:"
"3. If you want to give Customers 5 points for every 10 items they order and limit the number of points that can be earned to 15, then:","3. If you want to give Customers 5 points for every 10 items they order and limit the number of points that can be earned to 15, then:"
"If you want to apply the rule to items that cost more than %s and have brand Apple, the condition is:","If you want to apply the rule to items that cost more than %s and have brand Apple, the condition is:"
"If you want to apply the rule to orders that have over %s in Subtotal and Shipping to France, the condition is:","If you want to apply the rule to orders that have over %s in Subtotal and Shipping to France, the condition is:"
"If you want to apply the rule to products that cost more than %s and have brand Apple,  the condition is:","If you want to apply the rule to products that cost more than %s and have brand Apple,  the condition is:"
"1. If you want to allow Customers to spend 5 points only on a shopping cart to get the discount, then you can configure as below:","1. If you want to allow Customers to spend 5 points only on a shopping cart to get the discount, then you can configure as below:"
"2. If you want to give discount for every 5 points Customers spend on the order and limit the number of points that can be used to 15, then:","2. If you want to give discount for every 5 points Customers spend on the order and limit the number of points that can be used to 15, then:"
"How to earn points:","How to earn points:"
"It is valid until %s","It is valid until %s"
"How to spend points:","How to spend points:"
"Points Spent","Points Spent"
"No Point","No Point"
"off","off"
"Remove Rule","Remove Rule"
"Earning %s for this item","Earning %s for this item"
"Your balance is not enought to spend.","Your balance is not enought to spend."
"Edit Rule","Edit Rule"
"Spend Points for ","Spend Points for "
"Use Your Points","Use Your Points"
"-- Please Select Rule --","-- Please Select Rule --"
"With %s","With %s"
"You need","You need"
"login","login"
"to redeem your points on this product","to redeem your points on this product"
"You need to earn ","You need to earn "
"Please click","Please click"
"here","here"
"to learn about it.","to learn about it."
"Zoom Out","Zoom Out"
"Zoom In","Zoom In"
"with","with"
"Price: ","Price: "
"Close","Close"
"Apply","Apply"
"Apply Rule","Apply Rule"
"Purchase and earn %s","Purchase and earn %s"
"P/s: You will not earn any points when using points to spend!","P/s: You will not earn any points when using points to spend!"
"You could receive some %s for purchasing this product","You could receive some %s for purchasing this product"
"This product can be purchased by points only. Need more points to get it!","This product can be purchased by points only. Need more points to get it!"
"Buy with %s","Buy with %s"
"You don\'t have enough points to buy more quantiy of %s.","You don\'t have enough points to buy more quantiy of %s."
